page_number,sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count
1,"www.association-robotique-ensi.tn Campus universitaire de la Manouba Manouba 2010 Promouvoir la culture de la robotique au sein de l’ENSI. Former ses membres dans divers domaines y compris les systèmes embarqués, l’intelligence artificielle Organiser des évènemen ts. Participer à des compétitions de robotique dans le territoire tunisien ou bien à l’étranger.",360,49,49
1,"Réaliser des projets bénéfiques d ans différents domaines : la robotiq ue et les systèmes embarqués, l’intel ligence artificielle, le dévelop pement web et le développement mobile … Introduction : L’association Robotique ENSI est une association à but non lucratif fondée en 2006 au sein de l’Ecole nationale des Sciences de l’Informatique (ENSI). Elle englobe plus d’une centaine de membres actifs. Ses activités ont pour vocation de : Promouvoir la culture de la robotique au sein de l’ENSI.",493,78,78
1,"+216 40 485 430 Organiser des évènements. www.association-robotique-ensi.t n Réaliser des projets bénéfiques dans différents domaines : la robotique et les systèmes embarqués, l’intelligence artificielle, le développement web et le développement mobile … Modification du règlement intérieur : association.robotique@ensi-uma.tn",326,39,39
2,Responsables compétitions. Responsables Aéronautique. association.robotique@ensi-uma.tn +216 40 485 430 Articles : Catégories des membres de l’association : L’Association Robotique ENSI se compose de : Bureau exécutif Staff technique Bureau exécutif Staff technique Comité d’organisation Comité de conseil Anciens membres Chefs d’opérations Experts Nouveaux membres Président.,376,45,45
2,Vice-Président Président. Vice-Président Secrétaire générale et directrice des ressources humaines Trésorier Directrice commerciale Directeur de communauté Directrice de communication Directeur techniquetaff technique : C’est l’entité chargée d’assurer le travail sur le plan technique au sein de l’association en collaborant avec le directeur technique. Elle est choisie par le bureau exécutif du mandat précédent.,415,53,53
2,Le staff technique n’intervient pas dans la prise des décisions non techniques. Le staff technique est composé de : Responsables formations. +216 40 485 430 Responsables Aéronautique.,183,27,27
2,www.association-robotique-ensi.tn C’est l’entité chargée d’organiser en collaboration avec les membres du bureau exécutif tous les événements de l’association. Le comité d’organisation n’intervient pas dans la prise de décisions non événementielles. Le comité d’organisation est fixé par les membres du bureau exécutif du mandat actuel au début de leur mandat.,360,49,49
2,Comité de Conseil : association.robotique@ensi-uma.tn,53,5,5
3,"www.association-robotique-ensi.tn Campus universitaire de la Manouba Manouba 2010 association.robotique@ensi-uma.tn +216 40 485 430 Anciens membres : Se compose essentiellement des fondateurs de l’association ainsi que toute personne qui a travaillé au sein de l’association et qui s’intéresse encore par ses activités. Chefs d’opérations: Ce sont les membres qui ont choisi de continuer l’aventure avec l’ARE ayant un an ou plus d’expérience au sein de l’association. Ils peuvent faire partie de toutes les activités de l’association ; les formations, les compétitions… Ils peuvent aussi contribuer à la réalisation des projets internes et externes de l’association et occuper le poste de sous chef lors du dispatching des projets étant un superviseur et un conducteur du processus lors de la réalisation et la finalisation du projet ainsi que suggérer des projets à réaliser au sein de l’association.",902,134,134
3,"Le chef d’opération est garant de l’organisation et du pilotage des travaux jusqu’à leur terme . Experts : +216 40 485 430 Ils peuvent faire partie de toutes les activités de l’association ; les formations, les compétitions… Ils peuvent aussi contribuer dans la réalisation des projets internes et externes de l’association et suggérer des projets à réaliser au sein de l’association. www.association-robotique-ensi.tn Ce sont les nouveaux adhérents dans l’association.",469,69,69
3,"Ils ont le droit de participer dans l’organisation de certains évènements, de participer dans les formations, les événements et les compétitions externes en tant que membre de l’ARE. Ils peuvent aussi suggérer des projets à réaliser au sein de l’association. Admission des membres : association.robotique@ensi-um a.tn",317,46,46
4,"www.association-robotique-ensi.tn Campus universitaire de la Manouba Manouba 2010 association.robotique@ensi-uma.tn +216 40 485 430 Toute personne qui a eu des problèmes ou bien a effectué des fautes lors du remplissage du formulaire d’adhésion doit s’adresser le plus tôt possible au directeur des ressources humaines. Toute personne qui n’a pas eu l’opportunité de remplir le formulaire d’adhésion à l’ARE pendant la période fixée doit s’adresser au directeur des ressources humaines pour avoir plus de détails sur la procédure qu’il doit suivre. Toute personne, exclue auparavant de l’association et qui veut y réadhérer doit repasser un nouvel entretien.",658,95,95
4,Avertissement des membres : Toute absence non justifiée d’un membre lors des assemblées générales de l’ARE provoque l’envoi d’un avertissement. Un avertissement sera envoyé à toute personne qui n’a pas participé à une réunion dans un pôle ou bien un projet sans justifier son absence. L’inaction du membre provoque l’attribution d’un avertissement.,348,52,52
4,"Lorsque les circonstances l’exigent, l’association peut délivrer un avertissement à l’encontre de tout membre qui ne respecte pas le règlement intérieur. +216 40 485 430 Si un membre obtient 3 avertissements, il sera automatiquement exclu de notre entité. www.association-robotique-ensi .tn Participation dans les formations organisées par l’ARE : L’effectif accepté lors de chaque association.robotique@ensi-uma.tn Campus universitaire de la Manou ba Man ouba 2010",465,63,63
5,"www.association-robotique-ensi.tn Campus universitaire de la Manouba Manouba 2010 association.robotique@ensi-uma.tn +216 40 485 430 Participation dans les +216 40 485 430 participer dans les compétitions de robotique des autres établissements universitaires. Le nombre d’équipes participant dans chaque compétition sera fixé par le bureau exécutif selon plusieurs facteurs y compris la disponibilité de matériels. Chaque équipe, ou bien personne, souhaitant participer dans les compétitions de robotique externe doit remplir les formulaires publiées par le bureau exécutif sur le groupe de l’association pour garantir un bon déroulement de cette participation.",660,87,87
5,"Si une équipe/personne souhaite participer dans une compétition qui n’a pas été publiée sur le groupe de l’association, elle doit parler au directeur technique pour discuter du processus à suivre. L'empreinte de matériel de l’association pour la réalisation des projets qui sont hors ceux de l’association ou bien pour la participation dans des compétitions individuelles se fait à travers le prof responsable sur l’association. www.association-robotique-ensi.tn Composition des pôles : Pôle Media : dirigé principalement par le directeur de communication.",556,79,79
5,Pôle Développement Commercial : dirigé principalement par le directeur commercial. Pôle Projet : dirigé principalement par le directeur technique. L’effectif de chacun de ces pôles sera fixé par les membres du bureau exécutif selon le besoin.,242,36,36
5,association.robotique@ensi-uma.tn Campus universitaire de la Manouba Mano uba 2010,82,9,9
6,www.association-robotique-ensi.tn Campus universitaire de la Manouba Manouba 2010 association.robotique@ensi-uma.tn +216 40 485 430 Pole media : Les membres de ce pôle sont les premiers responsables de l’image de l’association sur les différents réseaux sociaux. Le responsable de ce pôle est le directeur de communication. Il a le droit d’affecter les différentes tâches aux membres de ce pôle tout en assurant un partage équitable de travail entre eux.,454,67,67
6,Pole développement commercial : Les membres de ce pôle sont les premiers responsables de la recherche de nouveaux partenaires pour notre association ainsi que les sponsors de nos évènements. Le responsable de ce pôle est le directeur commercial. Il a le droit d’affecter les différentes tâches aux membres de ce pôle tout en assurant un partage équitable de travail entre eux.,376,61,61
6,"Pole projets : +216 40 485 430 Un rapport mensuel bref est demandé sur l’avancement de chaque projet ; les membres de chaque projet doivent communiquer au directeur technique un document contenant les phases traitées dans chaque projet. Les responsables de chaque projet doivent communiquer à la directrice des ressources humaines une liste citant les membres présents lors des réunions de chaque projet. Un avertissement sera envoyé à toute personne qui s’absente, sans justifier son absence, dans une réunion de projet.",521,81,81
6,"www.association-robotique-ensi.tn Toute personne possédant une carte membre aura la priorité de participer dans toutes nos activités, d’avoir des remises exceptionnels sur les formations payantes tout en considérant les offres inclut dans cette carte et qu’elle vous fera y bénéficier. Le prix de la carte membre est fixé par le trésorier de l’association selon la disponibilité des offres incluses dans cette dernière. Local : association.robotique@ensi-uma.tn",461,64,64
